ItemNumberorderableSKU,Description,Vendor,OEM,OEMPartNumber,ConditionCode,QOH,InStock,LeadTime,InventoryID,RefNoteID,Attribute,RefNoteID_2,Attribute_2,InventoryID_2,Subitem,Warehouse,Location,InventoryID_3,Subitem_2,Warehouse_2,RefNoteID_3,Attribute_3,InventoryID_4,Currency,ReplClass,InventoryID_5,CuryID,Warehouse_3,LocationID,RefNoteID_4,Attribute_4
M4041-42303,Philips IntelliVue FMS-8 Module Rack Cable Management Guide Holder Bracket (Refurbished),Avante Health Solutions (APM-PATIENT MONITORING),Philips,M4046-62351,Refurbished,101.000000,Y,1-5 days,M4041-42303,db45d793-6b64-ea11-817b-a9605c8569c6,MANUFACTUR,db45d793-6b64-ea11-817b-a9605c8569c6,MFGPARTNO,M4041-42303,0,APM MAIN,E09D2,M4041-42303,0,APM MAIN,db45d793-6b64-ea11-817b-a9605c8569c6,PARTGROUP,M4041-42303,USD,PURCHASE,72407,USD,APM MAIN,E09H1,db45d793-6b64-ea11-817b-a9605c8569c6,PSAPMPART
M4046-62351,Philips IntelliVue MP60 MP70 Patient Monitor Quick Release Mount Base Bracket,Avante Health Solutions (APM-PATIENT MONITORING),Philips,M4046-62501/453563469731,Refurbished,83.000000,Y,1-5 days,M4046-62351,4338d399-6b64-ea11-817b-a9605c8569c6,MANUFACTUR,4338d399-6b64-ea11-817b-a9605c8569c6,MFGPARTNO,M4046-62351,0,APM MAIN,D12A1,M4046-62351,0,APM MAIN,4338d399-6b64-ea11-817b-a9605c8569c6,PARTGROUP,M4046-62351,USD,PURCHASE,72427,USD,APM MAIN,D12A1,4338d399-6b64-ea11-817b-a9605c8569c6,PSAPMPART
M4605A-C,Philips IntelliVue MP & MX Series Lithium Ion Battery M4605A (989803135861)(New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),Philips,M4840-68708,New Aftermarket,16.000000,Y,1-5 days,M4605A-C,269978b5-38a6-ea11-817d-fadf9b67cb3d,MANUFACTUR,269978b5-38a6-ea11-817d-fadf9b67cb3d,MFGPARTNO,M4605A-C,0,APM MAIN,F08D2,M4605A-C,0,APM MAIN,269978b5-38a6-ea11-817d-fadf9b67cb3d,PARTGROUP,M4605A-C,USD,PURCHASE,87779,USD,APM MAIN,F08D2,269978b5-38a6-ea11-817d-fadf9b67cb3d,PSAPMPART
M5070A-C,Philips HeartStart FRx & Home AED Battery (Replaces M5070A/989803121381) (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),Avante,M8000-64100,New Aftermarket,130.000000,Y,1-5 days,M5070A-C,4d9978b5-38a6-ea11-817d-fadf9b67cb3d,MANUFACTUR,4d9978b5-38a6-ea11-817d-fadf9b67cb3d,MFGPARTNO,M5070A-C,0,APM MAIN,F08A2,M5070A-C,0,APM MAIN,4d9978b5-38a6-ea11-817d-fadf9b67cb3d,PARTGROUP,M5070A-C,USD,PURCHASE,87781,USD,APM MAIN,F08H1,4d9978b5-38a6-ea11-817d-fadf9b67cb3d,PSAPMPART
M8000-64100-C,Philips IntelliVue MP & MX Series Patient Monitor Table Mount Mechanism Assembly (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),Philips,M8001-00102,New Aftermarket,12.000000,Y,1-5 days,M8000-64100-C,67db7a7b-296b-eb11-8172-12e75f4d5d6d,MANUFACTUR,67db7a7b-296b-eb11-8172-12e75f4d5d6d,MFGPARTNO,M8000-64100-C,0,APM MAIN,H08C1,M8000-64100-C,0,APM MAIN,67db7a7b-296b-eb11-8172-12e75f4d5d6d,PARTGROUP,M8000-64100-C,USD,PURCHASE,138162,USD,APM MAIN,H08C1,67db7a7b-296b-eb11-8172-12e75f4d5d6d,PSAPMPART
M8001-00102,Philips IntelliVue MP20 MP30 Recorder Printer Metal Frame,Avante Health Solutions (APM-PATIENT MONITORING),Philips,M8001-00111,Refurbished,26.000000,Y,1-5 days,M8001-00102,1cdfc8ab-6b64-ea11-817b-a9605c8569c6,MANUFACTUR,1cdfc8ab-6b64-ea11-817b-a9605c8569c6,MFGPARTNO,M8001-00102,0,APM MAIN,D10C1,M8001-00102,0,APM MAIN,1cdfc8ab-6b64-ea11-817b-a9605c8569c6,PARTGROUP,M8001-00102,USD,PURCHASE,72509,USD,APM MAIN,D10C1,1cdfc8ab-6b64-ea11-817b-a9605c8569c6,PSAPMPART
M8001-60901,Philips IntelliVue MP20 MP30 Patient Monitor Plastic Upper Handle Assembly (Refurbished),Avante Health Solutions (APM-PATIENT MONITORING),Avante,M8001-64001,Refurbished,34.000000,Y,1-5 days,M8001-60901,afe0c8ab-6b64-ea11-817b-a9605c8569c6,MANUFACTUR,afe0c8ab-6b64-ea11-817b-a9605c8569c6,MFGPARTNO,M8001-60901,0,APM MAIN,D11E1,M8001-60901,0,APM MAIN,afe0c8ab-6b64-ea11-817b-a9605c8569c6,PARTGROUP,M8001-60901,USD,PURCHASE,72530,USD,APM MAIN,D11E1,afe0c8ab-6b64-ea11-817b-a9605c8569c6,PSAPMPART
M8001-64001-C,"Philips IntelliVue MP20 MP30 Patient Monitor LCD Display Screen 10.4"" (LQ104S1DG21 ) (Aftermarket) (New Replacement)",Avante Health Solutions (APM-PATIENT MONITORING),Philips,M8001-64001,New Aftermarket,12.000000,Y,1-5 days,M8001-64001-C,afd0e442-2f5a-ef11-835b-121089124341,MANUFACTUR,afd0e442-2f5a-ef11-835b-121089124341,MFGPARTNO,M8001-64001-C,0,APM MAIN,F11E3,M8001-64001-C,0,APM MAIN,afd0e442-2f5a-ef11-835b-121089124341,PARTGROUP,M8001-64001-C,USD,PURCHASE,167493,USD,APM MAIN,F11E3,afd0e442-2f5a-ef11-835b-121089124341,PSAPMPART
M8001-64015-4,Philips IntelliVue MP20 MP30 Patient Monitor Power On Off Button Keypad Covers (Refurbished),Avante Health Solutions (APM-PATIENT MONITORING),Philips,M8001-64603/451261003331,Refurbished,8.000000,Y,1-5 days,M8001-64015-4,7a26c2b1-6b64-ea11-817b-a9605c8569c6,MANUFACTUR,7a26c2b1-6b64-ea11-817b-a9605c8569c6,MFGPARTNO,M8001-64015-4,0,APM MAIN,D10B1,M8001-64015-4,0,APM MAIN,7a26c2b1-6b64-ea11-817b-a9605c8569c6,PARTGROUP,M8001-64015-4,USD,PURCHASE,72545,USD,APM MAIN,D10B1,7a26c2b1-6b64-ea11-817b-a9605c8569c6,PSAPMPART
M8001-64603,Philips IntelliVue MP20 MP30 Patient Monitor LCD Display Screen Backlight Tube Assembly (Unfinished),Avante Health Solutions (APM-PATIENT MONITORING),Philips,M8003-47402/451261019561,Refurbished,10.000000,Y,1-5 days,M8001-64603,4927c2b1-6b64-ea11-817b-a9605c8569c6,MANUFACTUR,4927c2b1-6b64-ea11-817b-a9605c8569c6,MFGPARTNO,M8001-64603,0,APM MAIN,D10D1,M8001-64603,0,APM MAIN,4927c2b1-6b64-ea11-817b-a9605c8569c6,PARTGROUP,M8001-64603,USD,PURCHASE,72555,USD,APM MAIN,D10D1,4927c2b1-6b64-ea11-817b-a9605c8569c6,PSAPMPART
