InventoryID,ItemNumber,Vendor,OEM,PartDescription,ListPrice,OutrightCosttoPartsSource,ExchangeCost,CoreCharge,ConditionCode,UOM,QTYUOM,StockYN,QOH,LeadTime,CompatibleModels,ManufacturedYear,Usage,InventoryID_2,InventoryID_3,CuryID,Subitem,Warehouse,InventoryID_4,Subitem_2,Warehouse_2,Location,RefNoteID,Attribute,InventoryID_5,Currency,ReplClass,Warehouse_3,LocationID
00-880721-01,00-880721-01,Avante Health Solutions,GE,Fiber Channel Cable,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-880721-01,62965,USD,0,ADI MAIN,,,,,538c0950-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-880721-01,USD,PURCHASE,,
00-880888-02,00-880888-02,Avante Health Solutions,GE,Rear Wheel Mount,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-880888-02,62966,USD,0,ADI MAIN,,,,,668c0950-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-880888-02,USD,PURCHASE,,
00-881276-01,00-881276-01,Avante Health Solutions,GE,"Block, Nut",Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-881276-01,62972,USD,0,ADI MAIN,,,,,d88c0950-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-881276-01,USD,PURCHASE,,
00-881594-01,00-881594-01,Avante Health Solutions,GE,COVER COOLING KIT,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-881594-01,62975,USD,0,ADI MAIN,,,,,118d0950-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-881594-01,USD,PURCHASE,,
00-882098-01,00-882098-01,Avante Health Solutions,GE,"ASM CABLE FLUSH FAST, 9800",Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-882098-01,62977,USD,0,ADI MAIN,,,,,388d0950-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-882098-01,USD,PURCHASE,,
00-884735-04,00-884735-04,Avante Health Solutions,GE,Master Control Unit Board,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-884735-04,57666,USD,0,ADI MAIN,,,,,e3362bd9-e954-ea11-817b-a9605c8569c6,PARTGROUP,00-884735-04,USD,PURCHASE,,
00-885304-07,00-885304-07,Avante Health Solutions,GE,ROLLER BEARING KIT,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-885304-07,62993,USD,0,ADI MAIN,,,,,768e0950-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-885304-07,USD,PURCHASE,,
00-888181-01,00-888181-01,Avante Health Solutions,GE,"CABLE ASM, ETHERNET, 9800",Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-888181-01,63006,USD,0,ADI MAIN,,,,,16be0e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-888181-01,USD,PURCHASE,,
00-901076-03,00-901076-03,Avante Health Solutions,GE,DR7716 Monitor,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-901076-03,63017,USD,0,ADI MAIN,,,,,e7be0e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-901076-03,USD,PURCHASE,,
00-901523-03,00-901523-03,Avante Health Solutions,GE,CLUTCH FRICTION 9800,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-901523-03,63021,USD,0,ADI MAIN,,,,,33bf0e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-901523-03,USD,PURCHASE,,
00-901627-02,00-901627-02,Avante Health Solutions,GE,4 Button Hand Control Switch,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-901627-02,63024,USD,0,ADI MAIN,,,,,6cbf0e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-901627-02,USD,PURCHASE,,
